category,subcategory,service_type,name,short_description,description,duration,session,price,benefits,image
Kosmetika,Ošetření pleti,single,Hydratační ošetření pleti,Intenzivní hydratace pro zářivou a pružnou pleť,"Dopřejte suché pleti intenzivní hydrataci s vyživujícími maskami a hedvábnými séry. Jemné čištění a relaxační masáž obličeje podporují vstřebávání aktivních složek. Vaše pleť je hluboce hydratovaná, pružná a rozzáří se přirozeným jasem.",60,1,1150,"Intenzivní hydratace, zklidnění pleti, obnova pružnosti, zdravý vzhled",service-cosmetic.jpg
Kosmetika,Anti-age péče,single,Anti-age ošetření s kolagenem,Luxusní kolagenová terapie proti známkám stárnutí,"Objevte sílu kolagenu v prémiové péči proti vráskám a povadnutí pleti. Speciální lifting masáž a kolagenové masky stimulují přirozenou obnovu a zpevňují kontury obličeje. Vaše pleť je viditelně mladší, pevnější a vyhlazenější.",60,1,1350,"Redukce vrásek, zpevnění pleti, lifting efekt, stimulace kolagenu",service-cosmetic.jpg
Kosmetika,Ošetření pleti,single,Ošetření rozšířených pórů,Hloubkové čištění pro zjemnění a stažení pórů,"Profesionální čištění s enzymatickým peelingem důkladně uvolní póry a odstraní přebytečný maz. Šetrná extrakce a speciální stahující maska viditelně zjemní texturu pleti. Vaše pleť je čistá, matná a póry působí menší.",60,1,1350,"Stažení pórů, regulace mazu, vyčištění pleti, jemnější textura",service-cosmetic.jpg
Kosmetika,Ošetření pleti,single,Ošetření problematické pleti,Cílená péče pro pleť se sklonem k nedokonalostem,"Dezinfekční ošetření s antibakteriálními aktivy zklidní záněty a vyčistí pleť bez podráždění. Profesionální extrakce a zklidňující maska podporují rychlé hojení. Vaše pleť je čistší, vyrovnaná a připravená na regeneraci.",60,1,1350,"Dezinfekce, zklidnění zánětů, prevence akné, rychlejší hojení",service-cosmetic.jpg
Kosmetika,Ošetření pleti,single,Zklidňující ošetření s propolisem,Jemná péče s přírodním propolisem pro citlivou pleť,"Zjemněte citlivou pleť s léčivou silou přírodního propolisu. Šetrné ošetření bez dráždění zklidní zarudnutí, posílí ochrannou bariéru a podpoří přirozené hojení. Vaše pleť je uklidněná, vyživená a odolnější.",60,1,1490,"Zklidnění citlivé pleti, antibakteriální účinek, posílení kožní bariéry, přirozené hojení",service-cosmetic.jpg
Kosmetika,Anti-age péče,single,Premium ošetření s kyselinou hyaluronovou,Hluboká hydratace s luxusní kyselinou hyaluronovou,"Ponořte se do luxusu multi-molekulární kyseliny hyaluronové, která hydratuje všechny vrstvy pleti. Lifting masáž a koncentrovaná séra vyplní pleť zevnitř a vyhladí jemné linky. Vaše pleť je plná, pružná a zářivě mladistvá.",60,1,1700,"Hloubková hydratace, vyplnění vrásek, lifting efekt, dlouhodobá pružnost",service-cosmetic.jpg
Kosmetika,Procedury,single,Mikrojehličkování – Dermapen,Pokročilá procedura pro omlazení a regeneraci pleti,"Aktivujte přirozenou obnovu pleti pomocí precizního mikrojehličkování. Jemné mikropikery stimulují tvorbu kolagenu v hlubších vrstvách a spustí řízenou regeneraci. Vaše pleť je postupně hladší, pevnější a nedokonalosti se zjemňují.",60,1,1800,"Stimulace kolagenu, redukce jizev, vyhlazení vrásek, zlepšení textury",service-cosmetic.jpg
Kosmetika,Procedury,single,Dermapen – rty,Mikrojehličkování pro přirozený objem a mladší rty,"Získejte přirozeně plnější rty bez invazivních zákroků. Cílené mikrojehličkování stimuluje tvorbu kolagenu a vyhlazuje jemné vrásky kolem úst. Vaše rty jsou plnější, hladší a mladistvěji konturované.",60,1,700,"Přirozený objem rtů, vyhlazení vrásek, konturování, stimulace kolagenu",service-cosmetic.jpg
Kosmetika,Obočí a řasy,single,Barvení obočí,Profesionální barvení pro výrazný rámec obličeje,"Zvýrazněte své rysy precizním barvením v odstínu, který dokonale ladí s vaším typem. Šetrná barva vydrží 4-6 týdnů bez každodenního líčení. Vaše obočí je výrazné, upravené a přirozeně krásné.",15,1,200,"Zvýraznění obličeje, přirozený vzhled, dlouhodobý efekt, úspora času",service-cosmetic.jpg
Kosmetika,Obočí a řasy,single,Barvení řas,Tmavé řasy pro hloubku a intenzitu pohledu,"Tmavší řasy dodají vašemu pohledu hloubku a výraz bez každodenní tuše. Šetrné barvení vydrží 4-6 týdnů a je vhodné i pro citlivé oči. Vaše oči jsou výrazné, svěží a připravené na každý den.",15,1,200,"Výrazný pohled, přirozený vzhled, úspora času, vhodné pro citlivé oči",service-cosmetic.jpg
Kosmetika,Obočí a řasy,single,Lifting řas,Přirozený curl pro dlouhodobě otevřený pohled,"Nechte své řasy přirozeně natočit a zvednout pro efekt delších a výraznějších řas. Šetrná fixace vydrží 4-6 týdnů bez poškození. Vaše oči vypadají otevřeněji, svěže a bez potřeby natáčeček.",45,1,1000,"Přirozený curl, výrazný pohled, dlouhodobý efekt 4-6 týdnů, bez poškození",service-cosmetic.jpg
