CategoryId,CategoryName,PackageName,Price,Sessions,Description
kosmetika,KOSMETIKA,Základní ošetření pro suchou pleť (60 minut),1 150Kč,1,"Kompletní profesionální kosmetické ošetření pro suchou pleť: hloubkové čištění, tonizace, exfoliace, relaxační masáž obličeje a masáž rukou. Hydratuje a vyživuje pokožku, obnovuje přirozenou bariéru. Okamžité zlepšení elasticity a jasu pleti."
kosmetika,KOSMETIKA,Ošetření s collagenem anti Age (60 minut),1 350Kč,1,"Speciální anti-aging ošetření pro zralou pleť s kolagenem: čištění, tonizace, exfoliace, relaxace, vyživení kolagenovou maskou, ochrana SPF, masáž obličeje a rukou. Stimuluje tvorbu kolagenu, redukuje vrásky, zlepšuje elasticitu. Viditelné omlazení po prvním ošetření."
kosmetika,KOSMETIKA,Ošetření pleti s rozšířenými póry/ problematická pleť(60 minut),1 350Kč,1,"Cílené ošetření pro problematickou pleť s rozšířenými póry: hloubkové čištění, tonizace, exfoliace, relaxace, vyživení, speciální maska, ochrana, masáž obličeje a rukou. Normalizuje póry, reguluje tvorbu mazu, zklidňuje záněty. Zlepšuje texturu a vzhled pleti."
kosmetika,KOSMETIKA,"Sensitive skin facial with propolis pro pleť která je velmi problematická, nebo má jiná omezení(70 minut)",1 490Kč,1,"Jemné ošetření pro velmi problematickou nebo citlivou pleť s propolisem: čištění, tonizace, exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje a rukou + zklidňující sérum. Ideální pro akné, záněty, spálenou pleť nebo alergie. Zklidňuje, hojí a obnovuje přirozenou rovnováhu."
kosmetika,KOSMETIKA,Premium ošetření s kyselinou Hyaluronovou velmi silná koncentrace - kombinují různé molekulové hmotnosti HA (90 minut),1 700Kč,1,"Prémiové anti-aging ošetření s vysokou koncentrací kyseliny hyaluronové různých molekulových hmotností: prodloužená relaxace, extra vyživení, čištění, tonizace, exfoliace, maska, ochrana. Nejvyšší stupeň hydratace a omlazení pleti. Silně hydratuje, vyživuje, redukuje vrásky."
kosmetika,KOSMETIKA,Mikrojehličkování - Dermapen,1 800Kč,1,"Pokročilé mikrojehličkování Dermapenem pro omlazení pleti: řeší pigmentové skvrny, jizvy po akné, rozšířené póry. Stimuluje produkci kolagenu a elastinu, zlepšuje texturu a elasticitu pleti. Minimální downtime, maximální výsledky. Ideální pro obnovu a omlazení."
kosmetika,KOSMETIKA,Barení obočí/ barvení řas,200Kč,1,"Profesionální barvení obočí a řas pro přirozený, upravený vzhled. Zvýrazňuje kontury obličeje, dodává hustší a delší vzhled řasám. Používáme kvalitní barvy šetrné k pokožce. Výdrž 4-6 týdnů."
kosmetika,KOSMETIKA,Depilace obličeje v kombinaci s klasickou komsetikou,150Kč,1,"Profesionální depilace obličeje voskem v kombinaci s kosmetickým ošetřením. Odstraňuje nežádoucí chloupky, čistí póry, zabraňuje zarůstání. Nutno přiobjednat základní kosmetické ošetření. Jemná a účinná metoda."
kosmetika,KOSMETIKA,"Lash lifting / laminace řas, natočení řas cena bez kosmetického ošetření",1 000Kč,1,"Moderní lash lifting - natáčení a laminace řas pro efekt delších, hustších a natočených řas bez řasenky. Trvalý efekt na 4-6 týdnů. Bezpečné pro řasy, zlepšuje jejich kvalitu a tvar. Ideální alternativa k prodlužování."
kosmetika,KOSMETIKA,Laminace obočí cena bez kosmetického ošetření,600Kč,1,"Laminace obočí - styling a fixace chloupků pro plnější, upravený vzhled. Zvedá a natočuje chloupky, dodává objem a tvar. Dlouhodobý efekt na 4-6 týdnů. Profesionální úprava bez bolesti."
kosmetika,KOSMETIKA,Laminace obočí + barvení cena bez kosmetického ošetření,1 000Kč,1,"Kompletní úprava obočí: laminace pro objem a tvar + profesionální barvení. Vytváří dokonalý, upravený vzhled obočí s dlouhodobým efektem. Úspora času a peněz oproti samostatným procedurám. Výdrž 4-6 týdnů."
kosmetika,KOSMETIKA,"Lash lifting / laminace řas, natočení řas cena s kosmetickým ošetřením",800Kč,1,"Lash lifting v kombinaci s kosmetickým ošetřením: natáčení a laminace řas pro efekt delších, hustších řas + kompletní péče o pleť. Trvalý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Maximální relaxace a krása."
kosmetika,KOSMETIKA,Laminace obočí cena s kosmetickým ošetřením,500Kč,1,"Laminace obočí v kombinaci s kosmetickým ošetřením: styling a fixace chloupků pro plnější vzhled + kompletní péče o pleť. Dlouhodobý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Profesionální úprava bez bolesti."
kosmetika,KOSMETIKA,Laminace obočí + barvení cena s kosmetickým ošetřením,750Kč,1,"Kompletní úprava obočí s kosmetickým ošetřením: laminace pro objem + barvení + péče o pleť. Dokonalý upravený vzhled s dlouhodobým efektem. Úspora času a peněz. Nutno přiobjednat základní kosmetické ošetření. Výdrž 4-6 týdnů."
kosmetika,KOSMETIKA,Laminace obočí + Lash lifting řas,1 500Kč,1,"Kompletní péče o řasy a obočí: laminace obočí s barvením + lash lifting řas. Vytváří hustší, delší řasy a upravené obočí. Profesionální efekt na 4-6 týdnů. Ideální kombinace pro dokonalý pohled."
kosmetika,KOSMETIKA,"Základní kosmetické ošetření s barvením řas, obočí (75minut)",1 250Kč,1,"Kompletní kosmetické ošetření + barvení řas a obočí: čištění pleti, tonizace, exfoliace, relaxace, vyživení, masáž rukou + profesionální barvení. Hydratuje pleť a zvýrazňuje oči. Ideální pro suchou pleť. Okamžité zlepšení vzhledu."
