Category,PackageName,Description,Price,Sessions,Price_Cleaned,Image
Kosmetika,Základní ošetření pro suchou pleť (60 minut),"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Kompletní profesionální kosmetické ošetření pro suchou pleť: hloubkové. čištění, tonizace, exfoliace, relaxační masáž obličeje a masáž rukou. Hydratuje a vyživuje pokožku, obnovuje přirozenou bariéru. Okamžité zlepšení elasticity a jasu pleti. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 150Kč,1,1150,service-cosmetic.jpg
Kosmetika,Ošetření s collagenem anti Age (60 minut),"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Speciální anti-aging ošetření pro zralou pleť s kolagenem: čištění, tonizace,. exfoliace, relaxace, vyživení kolagenovou maskou, ochrana SPF, masáž obličeje a rukou. Stimuluje tvorbu kolagenu, redukuje vrásky, zlepšuje elasticitu. Viditelné omlazení po prvním ošetření. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 350Kč,1,1350,service-cosmetic.jpg
Kosmetika,Ošetření pleti s rozšířenými póry/ problematická pleť(60 minut),"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Cílené ošetření pro problematickou pleť s rozšířenými póry: hloubkové čištění,. tonizace, exfoliace, relaxace, vyživení, speciální maska, ochrana, masáž obličeje a rukou. Normalizuje póry, reguluje tvorbu mazu, zklidňuje záněty. Zlepšuje texturu a vzhled pleti. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 350Kč,1,1350,service-cosmetic.jpg
Kosmetika,"Sensitive skin facial with propolis pro pleť která je velmi problematická, nebo má jiná omezení(70 minut)","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Jemné ošetření pro velmi problematickou nebo citlivou pleť s propolisem: čištění, tonizace,. exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje a rukou + zklidňující sérum. Ideální pro akné, záněty, spálenou pleť nebo alergie. Zklidňuje, hojí a obnovuje přirozenou rovnováhu. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 490Kč,1,1490,service-cosmetic.jpg
Kosmetika,Premium ošetření s kyselinou Hyaluronovou velmi silná koncentrace - kombinují různé molekulové hmotnosti HA (90 minut),"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Prémiové anti-aging ošetření s vysokou koncentrací kyseliny hyaluronové různých molekulových. hmotností: prodloužená relaxace, extra vyživení, čištění, tonizace, exfoliace, maska, ochrana. Nejvyšší stupeň hydratace a omlazení pleti. Silně hydratuje, vyživuje, redukuje vrásky. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 700Kč,1,1700,service-cosmetic.jpg
Kosmetika,Mikrojehličkování - Dermapen,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Pokročilé mikrojehličkování Dermapenem pro omlazení pleti: řeší. pigmentové skvrny, jizvy po akné, rozšířené póry. Stimuluje produkci kolagenu a elastinu, zlepšuje texturu a elasticitu pleti. Minimální downtime, maximální výsledky. Ideální pro obnovu a omlazení. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 800Kč,1,1800,service-cosmetic.jpg
Kosmetika,Barení obočí/ barvení řas,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Profesionální barvení obočí a řas pro přirozený, upravený vzhled. Zvýrazňuje kontury obličeje, dodává hustší a delší vzhled řasám. Používáme kvalitní barvy šetrné k pokožce. Výdrž 4-6 týdnů. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",200Kč,1,200,service-cosmetic.jpg
Kosmetika,Depilace obličeje v kombinaci s klasickou komsetikou,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Profesionální depilace obličeje voskem v kombinaci s kosmetickým ošetřením. Odstraňuje nežádoucí chloupky, čistí póry, zabraňuje zarůstání. Nutno přiobjednat základní kosmetické ošetření. Jemná a účinná metoda. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",150Kč,1,150,service-cosmetic.jpg
Kosmetika,"Lash lifting / laminace řas, natočení řas cena bez kosmetického ošetření","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Moderní lash lifting - natáčení a laminace řas. pro efekt delších, hustších a natočených řas bez řasenky. Trvalý efekt na 4-6 týdnů. Bezpečné pro řasy, zlepšuje jejich kvalitu a tvar. Ideální alternativa k prodlužování. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 000Kč,1,1000,service-cosmetic.jpg
Kosmetika,Laminace obočí cena bez kosmetického ošetření,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Laminace obočí - styling a fixace chloupků pro plnější, upravený vzhled. Zvedá a natočuje chloupky, dodává objem a tvar. Dlouhodobý efekt na 4-6 týdnů. Profesionální úprava bez bolesti. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",600Kč,1,600,service-cosmetic.jpg
