service_id,parent_id,category_name,name,short_description,full_description,benefits,indications,contraindications,image
hifu-facelift,HIFU Facelift,HIFU Facelift,HIFU Facelift,Neinvazivní lifting pomocí ultrazvuku,"HIFU (High Intensity Focused Ultrasound) využívá fokusovaný ultrazvuk pro neinvazivní lifting a zpevnění pleti. Technologie HIFU 7D proniká do hlubokých vrstev kůže a stimuluje tvorbu kolagenu bez poškození povrchu. Působí v hloubce 1,5-4,5 mm, což umožňuje ošetření jak povrchových vrásek, tak hlubokých vrstev kůže. Výsledky jsou viditelné okamžitě a pokračují v průběhu 2-3 měsíců. Vhodné pro obličej i tělo, bez rekonvalescence.","Zpevnění kontur,Stimulace kolagenu,Dlouhodobý efekt,Bez rekonvalescence,Neinvazivní metoda","Povislá pleť,Vrásky a jemné linky,Ztráta kontur obličeje,Ochablá kůže,Dvojitá brada,Nežádoucí tuk na těle","Těhotenství a kojení,Zánětlivé stavy kůže,Implantáty v oišetřované oblasti,Rakovinové onemocnění,Otevřené rány,Kožní infekce",hifu/hifu-oblicej.jpeg;hifu/hifu-oblicej2.jpeg;hifu/hifu-1.jpg;hifu/hifu-2.jpeg;hifu/hifu-3.jpeg;hifu/hifu-4.jpeg
endos,,Endos-roller,Endos-roller,Profesionální lymfatická drenáž,"Endos-roller (Endospher) využívá kompresní mikro-vibrace pro profesionální lymfatickou drenáž, redukci celulitidy a tvarování postavy. Technologie kombinuje rotaci a vibraci pro hloubkovou stimulaci lymfatického systému. Pomáhá odvádět toxiny z těla, zeštíhluje, odvodňuje a tonizuje pokožku bez bolesti. Vhodné pro celé tělo, obličej i dekolt. Přináší okamžitou úlevu při pocitu těžkých nohou.","Odvodnění,Podpora mikrocirkulace,Redukce celulitidy,Tvarování,Úleva od těžkých nohou","Otoky a lymfatické problémy,Celulitida,Těžké nohy,Zadržování vody v těle,Toxiny v těle,Ochablá pokožka","Těhotenství a kojení,Rakovinové onemocnění,Trombóza a žilní problémy,Akutní záněty,Kardiostimulátor,Kožní infekce",endos/endos-1.jpeg;endos/endos-2.jpeg;endos/endos-3.jpeg
ems,,Budování svalů,Budování svalů,EMS technologie pro posílení,"Budování svalů využívá EMS technologii (elektrostimulace svalů) s 30 000 supramaximálními kontrakcemi za sezení. Technologie elektricky stimuluje svaly k intenzivní kontrakci, což vede k jejich posílení a formování. 30 minut na stroji nahrazuje účinek 5,5 hodiny v posilovně. Vhodné pro zpevnění konkrétních partií (břicho, hýždě, stehna, paže) i pro regeneraci svalů po silné fyzické zátěži. Efektivní spalování tuku a budování svalové hmoty současně.","Posílení svalů,Zlepšení tonusu,Lokální spalování tuků,Rychlý trénink,Regenerace svalů","Ochablé svaly,Ztráta svalového tonusu,Regenerace po zátěži,Formování postavy,Lokální tukové polštářky","Těhotenství a kojení,Kardiostimulátor,Epilepsie,Rakovinové onemocnění,Akutní záněty,Kožní infekce v ošetřované oblasti",ems/budovani-svalu-1.jpeg;ems/budovani-svalu-2.png;ems/budovani-svalu-3.png;ems/budovani-svalu-4.png
kavitace,,Kavitace,Kavitace,Ultrazvuková redukce tuku,"Kavitace využívá ultrazvukové vlny pro neinvazivní redukce tuku. Ultrazvuk vytváří mikro-bubliny v tukových buňkách, které následně praskají a tuk je přirozeně vyloučen z těla lymfatickým systémem. Ošetření je bezbolestné a bez rekonvalescence. Vhodné pro lokální redukci tuku na různých partiích těla.","Redukce tuku,Neinvazivní zeštíhlení,Vyhlazení kontur,Tvarování,Redukce celulitidy","Lokální tukové polštářky,Nežádoucí tuk,Celulitida,Nerovnoměrné kontury těla","Těhotenství a kojení,Rakovinové onemocnění,Kardiostimulátor,Jaterní a ledvinové problémy,Kožní infekce",kavitace/kavitace-1.jpeg;kavitace/kavitace-2.jpeg
lpg,,LPG endermologie,LPG endermologie,Mechanická stimulace pro zpevnění,"LPG endermologie využívá mechanickou stimulaci pro zpevnění pokožky a redukci celulitidy. Kombinuje vakuové vývěvy a válečky pro hloubkovou masáž, která aktivuje přirozenou produkci kolagenu a elastinu. Zlepšuje cirkulaci, zvyšuje pružnost pokožky a pomáhá tvarovat postavu.","Zlepšení cirkulace,Zvýšení pružnosti,Redukce celulitidy,Tvarování postavy,Aktivace kolagenu","Celulitida,Ochablá pokožka,Ztráta pružnosti,Nedostatečná cirkulace,Tvarování postavy","Těhotenství a kojení,Rakovinové onemocnění,Kožní infekce,Trombóza,Akutní záněty",lpg/lpg-1.jpg;lpg/lpg-2.jpg
kosmetika,,Kosmetika,Kosmetika,Profesionální péče o pleť,Kosmetika zahrnuje širokou škálu profesionálních ošetření pleti - od klasického čištění přes hydrataci až po pokročilé anti-age procedury. Každé ošetření je přizpůsobeno typu vaší pleti a jejím aktuálním potřebám. Využíváme kvalitní kosmetické přípravky a moderní technologie pro dosažení optimálních výsledků.,"Zdravá pleť,Zářivý vzhled,Hydratace,Regenerace,Relaxace","Všechny typy pleti,Suchou pleť,Mastnou pleť,Problematickou pleť,Zralou pleť,Citlivou pleť","Akutní záněty,Otevřené rány",kosmetika/hydratational-1.jpg;kosmetika/hydratational-2.jpg;kosmetika/hydratational-5.jpg;kosmetika/Kosmetika Detail.jpeg;kosmetika/Kosmetika Detail 2.jpeg;kosmetika/anti-age.jpeg
kosmetika-osetreni,kosmetika,Kosmetika,Ošetření pleti,Klasická kosmetická ošetření,"Kompletní kosmetické ošetření zahrnující čištění pleti, tonizaci, exfoliaci, relaxační masáž a vyživení. Speciálně přizpůsobeno typu vaší pleti - ať už máte suchou, mastnou, problematickou nebo citlivou pleť. Každé ošetření využívá profesionální kosmetiku s aktivními složkami pro maximální účinek. Masáž obličeje a rukou je součástí pro kompletní relaxaci.","Hloubkové čištění,Intenzivní hydratace,Regenerace pleti,Zlepšení textury,Relaxace","Suchou pleť,Dehydratovanou pleť,Mastnou pleť s rozšířenými póry,Problematickou pleť se sklonem k akné,Citlivou a podrážděnou pleť,Zralou pleť s prvními vrásky","Aktivní akné s otoky,Otevřené rány,Kožní infekce,Alergie na použité přípravky",kosmetika/hydratational-3.jpg;kosmetika/hydratational-6.jpg;kosmetika/hydratational-7.jpg;kosmetika/hydratational-10.jpg;kosmetika/hydratational-14.jpg;kosmetika/skin-calming-with-propolis1.jpg
dermapen,kosmetika,Kosmetika,Dermapen mikrojehličkování,Pokročilé mikrojehličkování,"Moderní mikrojehličkování pomocí dermapenu pro intenzivní regeneraci pleti a rtů. Technologie využívá jemné mikrojehličky, které vytvářejí kontrolované mikro-poranění kůže a spouštějí přirozený proces hojení a tvorby kolagenu. Efektivně řeší pigmentové skvrny, jizvy po akné, nerovnoměrnou texturu pleti i tenké rty. Výsledkem je hladší, regenerovaná pleť s vyhlazenými nedokonalostmi.","Stimulace kolagenu,Redukce jizev po akné,Vyhlazení vrásek,Zlepšení textury pleti,Přirozený objem rtů","Jizvičky po akné,Pigmentové skvrny,Nerovnoměrná textura pleti,Jemné vrásky,Tenké nebo ochablé rty,Rozšířené póry","Aktivní akné,Kožní infekce,Otevřené rány,Používání retinoidů (přestat 1 týden před),Těhotenství a kojení,Krevní onemocnění",kosmetika/Kosmetika Detail 2.jpeg;kosmetika/problematic-skin1.jpg;kosmetika/problematic-skin2.jpg;kosmetika/problematic-skin5.jpg;kosmetika/problematic-skin7.jpg
oboci-a-rasy,kosmetika,Kosmetika,Obočí a řasy,Péče o obočí a řasy,"Profesionální péče o obočí a řasy zahrnující barvení, lifting řas a laminaci obočí. Moderní techniky pro výrazný pohled bez každodenního líčení. Lash lifting vytváří přirozený curl řas na 4-6 týdnů, laminace obočí fixuje chloupky pro plnější vzhled. Barvení zvýrazní rysy obličeje přirozeným způsobem.","Výrazný pohled,Dlouhodobý efekt (4-6 týdnů),Úspora času,Přirozený vzhled,Bez každodenního líčení","Řídké nebo světlé obočí,Řídké nebo světlé řasy,Rovné řasy,Neposedné obočí,Touha po výrazném pohledu bez make-upu","Alergie na barvicí látky,Oční infekce,Aktivní záněty v oblasti očí,Nedávný operační zákrok na očích,Silně citlivé oči",kosmetika/rasy-1.jpg;kosmetika/rasy-2.jpg;kosmetika/rasy-3.jpg;kosmetika/rasy1.jpg;kosmetika/rasy2.jpg;kosmetika/rasy5.jpg;kosmetika/rasy7.jpg;kosmetika/rasy10.jpg
hydrafacial,,Hydrafacial,Hydrafacial,Hloubkové čištění a hydratace,"Hydrafacial je inovativní ošetření kombinující hloubkové čištění pleti s intenzivní hydratací pomocí technologie hydradermabraze a kyslíkové infuze. Vakuový systém odstraňuje nečistoty z pórů, zatímco současně dodává aktivní látky hluboko do kůže. Různé úrovně ošetření zahrnují radiofrekvenci pro zpevnění, bio lifting a LED terapii pro maximální efekt. Okamžitý viditelný výsledek - čistá, hydratovaná a zářivá pleť.","Hloubkové čištění,Intenzivní hydratace,Okamžitý jas,Sjednocení tónu,Zpevnění pleti","Ucpané póry,Unavená pleť,Dehydratovaná pleť,Mastná pleť,Nerovnoměrný tón pleti,Jemné vrásky","Aktivní herpes,Akutní záněty,Otevřené rány,Nedávný chemický peeling (počkat 2 týdny),Spálená pleť,Velmi citlivá pleť s růžovkou",kosmetika/hydratational-8.jpg;kosmetika/hydratational-11.jpg;kosmetika/hydratational-13.jpg;kosmetika/hydratational-15.jpg;kosmetika/hydratational-17.jpg;kosmetika/skin-calming-with-propolis3.jpg
