Category,PackageName,Description,Price,Sessions,Price_Cleaned,Image,Duration
Kosmetika,Základní ošetření pro suchou pleť (60 minut),"Kompletní profesionální kosmetické ošetření pro suchou pleť: hloubkové čištění, tonizace, exfoliace, relaxační masáž obličeje a masáž rukou. Hydratuje a vyživuje pokožku, obnovuje přirozenou bariéru. Okamžité zlepšení elasticity a jasu pleti. Užijte si pocit hydratované a zářivé pokožky.",1 150Kč,1,1150,service-cosmetic.jpg,60 minut
Kosmetika,Ošetření s collagenem anti Age (60 minut),"Speciální anti-aging ošetření pro zralou pleť s kolagenem: čištění, tonizace, exfoliace, relaxace, vyživení kolagenovou maskou, ochrana SPF, masáž obličeje a rukou. Stimuluje tvorbu kolagenu, redukuje vrásky, zlepšuje elasticitu. Viditelné omlazení po prvním ošetření. Pocítíte osvěžení a radost z mladistvé pleti.",1 350Kč,1,1350,service-cosmetic.jpg,60 minut
Kosmetika,Ošetření pleti s rozšířenými póry/ problematická pleť(60 minut),"Cílené ošetření pro problematickou pleť s rozšířenými póry: hloubkové čištění, tonizace, exfoliace, relaxace, vyživení, speciální maska, ochrana, masáž obličeje a rukou. Normalizuje póry, reguluje tvorbu mazu, zklidňuje záněty. Zlepšuje texturu a vzhled pleti.",1 350Kč,1,1350,service-cosmetic.jpg,60 minut
Kosmetika,"Sensitive skin facial with propolis pro pleť která je velmi problematická, nebo má jiná omezení(70 minut)","Jemné ošetření pro velmi problematickou nebo citlivou pleť s propolisem: čištění, tonizace, exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje a rukou + zklidňující sérum. Ideální pro akné, záněty, spálenou pleť nebo alergie. Zklidňuje, hojí a obnovuje přirozenou rovnováhu.",1 490Kč,1,1490,service-cosmetic.jpg,70 minut
Kosmetika,Premium ošetření s kyselinou Hyaluronovou velmi silná koncentrace - kombinují různé molekulové hmotnosti HA (90 minut),"Prémiové anti-aging ošetření s vysokou koncentrací kyseliny hyaluronové různých molekulových hmotností: prodloužená relaxace, extra vyživení, čištění, tonizace, exfoliace, maska, ochrana. Nejvyšší stupeň hydratace a omlazení pleti. Silně hydratuje, vyživuje, redukuje vrásky. Pocítíte osvěžení a radost z mladistvé pleti.",1 700Kč,1,1700,service-cosmetic.jpg,90 minut
Kosmetika,Mikrojehličkování - Dermapen,"Pokročilé mikrojehličkování Dermapenem pro omlazení pleti: řeší pigmentové skvrny, jizvy po akné, rozšířené póry. Stimuluje produkci kolagenu a elastinu, zlepšuje texturu a elasticitu pleti. Minimální downtime, maximální výsledky. Ideální pro obnovu a omlazení. Pocítíte osvěžení a radost z mladistvé pleti.",1 800Kč,1,1800,service-cosmetic.jpg,
Kosmetika,Barení obočí/ barvení řas,"Profesionální barvení obočí a řas pro přirozený, upravený vzhled. Zvýrazňuje kontury obličeje, dodává hustší a delší vzhled řasám. Používáme kvalitní barvy šetrné k pokožce. Výdrž 4-6 týdnů.",200Kč,1,200,service-cosmetic.jpg,
Kosmetika,Depilace obličeje v kombinaci s klasickou komsetikou,"Profesionální depilace obličeje voskem v kombinaci s kosmetickým ošetřením. Odstraňuje nežádoucí chloupky, čistí póry, zabraňuje zarůstání. Nutno přiobjednat základní kosmetické ošetření. Jemná a účinná metoda.",150Kč,1,150,service-cosmetic.jpg,
Kosmetika,"Lash lifting / laminace řas, natočení řas cena bez kosmetického ošetření","Moderní lash lifting - natáčení a laminace řas pro efekt delších, hustších a natočených řas bez řasenky. Trvalý efekt na 4-6 týdnů. Bezpečné pro řasy, zlepšuje jejich kvalitu a tvar. Ideální alternativa k prodlužování.",1 000Kč,1,1000,service-cosmetic.jpg,
Kosmetika,Laminace obočí cena bez kosmetického ošetření,"Laminace obočí - styling a fixace chloupků pro plnější, upravený vzhled. Zvedá a natočuje chloupky, dodává objem a tvar. Dlouhodobý efekt na 4-6 týdnů. Profesionální úprava bez bolesti.",600Kč,1,600,service-cosmetic.jpg,
Kosmetika,Laminace obočí + barvení cena bez kosmetického ošetření,"Kompletní úprava obočí: laminace pro objem a tvar + profesionální barvení. Vytváří dokonalý, upravený vzhled obočí s dlouhodobým efektem. Úspora času a peněz oproti samostatným procedurám. Výdrž 4-6 týdnů.",1 000Kč,1,1000,service-cosmetic.jpg,
Kosmetika,"Lash lifting / laminace řas, natočení řas cena s kosmetickým ošetřením","Lash lifting v kombinaci s kosmetickým ošetřením: natáčení a laminace řas pro efekt delších, hustších řas + kompletní péče o pleť. Trvalý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Maximální relaxace a krása.",800Kč,1,800,service-cosmetic.jpg,
Kosmetika,Laminace obočí cena s kosmetickým ošetřením,Laminace obočí v kombinaci s kosmetickým ošetřením: styling a fixace chloupků pro plnější vzhled + kompletní péče o pleť. Dlouhodobý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Profesionální úprava bez bolesti.,500Kč,1,500,service-cosmetic.jpg,
